"filename", "language", "JSON", "JSON with Comments", "Markdown", "TypeScript", "HTML", "vue", "PostCSS", "JavaScript", "comment", "blank", "total"
"d:\乡村\src\views\ResourcesView.vue", "vue", 0, 0, 0, 0, 0, 123, 0, 0, 0, 15, 138
"d:\乡村\src\views\TalentView.vue", "vue", 0, 0, 0, 0, 0, 130, 0, 0, 0, 18, 148
"d:\乡村\src\views\admin\AdminContent.vue", "vue", 0, 0, 0, 0, 0, 19, 0, 0, 0, 2, 21
"d:\乡村\src\views\admin\AdminDashboard.vue", "vue", 0, 0, 0, 0, 0, 110, 0, 0, 0, 20, 130
"d:\乡村\src\views\admin\AdminOrders.vue", "vue", 0, 0, 0, 0, 0, 20, 0, 0, 0, 2, 22
"d:\乡村\src\views\admin\AdminSettings.vue", "vue", 0, 0, 0, 0, 0, 48, 0, 0, 0, 5, 53
"d:\乡村\src\views\admin\AdminUsers.vue", "vue", 0, 0, 0, 0, 0, 21, 0, 0, 0, 2, 23
"d:\乡村\src\views\admin\AdminVillage.vue", "vue", 0, 0, 0, 0, 0, 20, 0, 0, 0, 2, 22
"d:\乡村\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"d:\乡村\tsconfig.json", "JSON with Comments", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 22
"d:\乡村\tsconfig.node.json", "JSON", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"d:\乡村\vite.config.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 1, 1, 17
"Total", "-", 1602, 22, 75, 424, 27, 1732, 74, 154, 2, 391, 4503
